City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
390,Qasigiannguit,68.8193,-51.1922,48.45,76,89,3.47,GL,2022-08-02 21:20:23,overcast clouds
391,Kulim,5.365,100.5618,78.49,96,100,3.62,MY,2022-08-02 21:20:24,overcast clouds
392,Mar Del Plata,-38.0023,-57.5575,55.09,96,100,6.91,AR,2022-08-02 21:20:22,overcast clouds
393,Manaus,-3.1019,-60.025,88.3,66,20,9.22,BR,2022-08-02 21:20:24,few clouds
394,Namibe,-15.1961,12.1522,59.61,69,3,3.56,AO,2022-08-02 21:20:25,clear sky
395,Uyemskiy,64.4743,40.8524,62.65,100,75,4.47,RU,2022-08-02 21:20:25,broken clouds
396,Bull Savanna,17.8868,-77.5902,83.95,71,95,11.9,JM,2022-08-02 21:20:25,overcast clouds
397,Stornoway,58.2093,-6.3865,57.16,89,75,13.8,GB,2022-08-02 21:20:25,broken clouds
398,Buluang,13.3068,123.3425,75.92,92,99,2.51,PH,2022-08-02 21:20:26,overcast clouds
399,Monkey Bay,-14.0728,34.9201,70.39,69,99,15.99,MW,2022-08-02 21:20:26,overcast clouds
400,Leningradskiy,69.3833,178.4167,57.04,53,100,7.0,RU,2022-08-02 21:20:27,overcast clouds
401,Alice Springs,-23.7,133.8833,69.35,24,100,8.05,AU,2022-08-02 21:20:27,overcast clouds
402,Dalianwan,39.0286,121.695,78.84,89,0,2.24,CN,2022-08-02 21:20:27,clear sky
403,Galatista,40.4667,23.2833,77.92,61,2,1.72,GR,2022-08-02 21:20:28,clear sky
404,Constantine,36.365,6.6147,72.81,46,20,1.14,DZ,2022-08-02 21:20:28,few clouds
405,Alibag,18.6411,72.8792,82.47,82,99,5.75,IN,2022-08-02 21:21:28,overcast clouds
406,Skjervoy,70.0311,20.9714,53.6,90,99,5.84,NO,2022-08-02 21:21:29,overcast clouds
407,Pisco,-13.7,-76.2167,64.45,72,0,3.44,PE,2022-08-02 21:21:29,clear sky
408,Sarkand,45.41,79.9186,68.14,45,73,6.26,KZ,2022-08-02 21:21:29,broken clouds
409,Kefamenanu,-9.4467,124.4781,64.24,94,36,3.18,ID,2022-08-02 21:21:30,scattered clouds
410,Baghdad,33.3406,44.4009,94.91,21,0,4.61,IQ,2022-08-02 21:17:18,clear sky
411,Perbaungan,3.5679,98.956,75.31,96,100,3.0,ID,2022-08-02 21:21:30,moderate rain
412,Orlik,52.5178,99.825,51.35,84,25,0.13,RU,2022-08-02 21:21:30,scattered clouds
413,College,64.8569,-147.8028,66.18,68,75,3.44,US,2022-08-02 21:21:31,broken clouds
414,Andilamena,-17.0167,48.5833,57.49,85,97,9.86,MG,2022-08-02 21:21:31,overcast clouds
415,Beringovskiy,63.05,179.3167,56.34,65,57,3.31,RU,2022-08-02 21:21:31,broken clouds
416,Karpathos,35.507,27.2132,75.16,83,0,24.16,GR,2022-08-02 21:21:32,clear sky
417,Zhigansk,66.7697,123.3711,46.36,67,80,16.98,RU,2022-08-02 21:21:32,broken clouds
418,Trat,12.5,102.5,82.81,95,99,1.36,TH,2022-08-02 21:21:32,light rain
419,Pimentel,-6.8367,-79.9342,66.49,72,0,13.8,PE,2022-08-02 21:21:33,clear sky
420,Bemidji,47.4736,-94.8803,80.69,74,100,5.75,US,2022-08-02 21:21:33,overcast clouds
421,Kota Kinabalu,5.9749,116.0724,76.98,94,20,0.0,MY,2022-08-02 21:21:33,few clouds
422,San Cristobal,7.7669,-72.225,77.18,62,84,5.28,VE,2022-08-02 21:21:34,broken clouds
423,Acarau,-2.8856,-40.12,78.98,79,33,15.68,BR,2022-08-02 21:21:34,scattered clouds
424,Mollendo,-17.0231,-72.0147,61.56,76,41,6.62,PE,2022-08-02 21:21:34,scattered clouds
425,Bolgatanga,10.7856,-0.8514,74.71,88,100,5.06,GH,2022-08-02 21:21:35,overcast clouds
426,Rosario,-32.9468,-60.6393,67.95,53,0,9.22,AR,2022-08-02 21:18:26,clear sky
427,Baykit,61.67,96.37,53.37,89,100,2.39,RU,2022-08-02 21:21:35,overcast clouds
428,Areka,7.0667,37.7,56.64,96,98,1.66,ET,2022-08-02 21:21:35,overcast clouds
429,Ketchikan,55.3422,-131.6461,60.78,95,100,4.63,US,2022-08-02 21:21:36,light rain
430,Dauphin,51.1494,-100.0502,78.94,65,20,16.11,CA,2022-08-02 21:21:36,few clouds
431,Mtwara,-10.2667,40.1833,69.76,89,0,7.94,TZ,2022-08-02 21:21:36,clear sky
432,Pochutla,15.7432,-96.4661,87.82,56,45,7.47,MX,2022-08-02 21:21:37,scattered clouds
433,Palmer,42.1584,-72.3287,88.39,59,40,3.44,US,2022-08-02 21:21:37,scattered clouds
434,Mount Gambier,-37.8333,140.7667,52.75,80,99,16.44,AU,2022-08-02 21:21:37,light rain
435,Evanston,42.0411,-87.6901,91.65,57,20,11.5,US,2022-08-02 21:21:38,few clouds
436,Cayenne,4.9333,-52.3333,84.09,1,20,2.3,GF,2022-08-02 21:21:38,few clouds
